Sequence name	HCV-I_PV1_Run3_B	HCV-H_PV1_Run3_B	HCV-J_PV1_Run3_A	JAS_PV1_Run10_A	HCV-H_PV1_Run3_A	HCV-I_PV1_Run3_A	HCV-J_PV1_Run3_B	SB_PV1_Run3_A	JAS_PV1_Run10_B	SB_PV1_Run3_B
PV1_000000	0.00	0.00	101.69	41.34	12.58	46.22	0.00	11.39	16.95	5.25
PV1_000001	121.51	214.89	130.75	124.01	62.92	107.84	149.91	96.82	110.16	125.95
PV1_000002	97.21	107.44	43.58	144.68	195.06	92.44	117.79	108.21	93.21	78.72
PV1_000003	182.27	171.91	116.22	144.68	138.43	73.18	192.75	130.99	211.85	157.44
PV1_000004	36.45	42.98	67.80	20.67	6.29	50.07	64.25	22.78	0.00	47.23
PV1_000005	12.15	0.00	0.00	0.00	6.29	0.00	10.71	11.39	8.47	5.25
PV1_000006	36.45	42.98	67.80	103.34	88.09	88.59	53.54	34.17	42.37	52.48
PV1_000007	0.00	0.00	9.69	0.00	12.58	23.11	21.42	0.00	0.00	0.00
PV1_000008	48.60	21.49	58.11	0.00	56.63	42.37	21.42	45.56	59.32	0.00
PV1_000009	255.17	21.49	174.33	124.01	138.43	200.28	171.33	85.43	152.53	52.48
PV1_000010	12.15	21.49	43.58	20.67	12.58	34.66	32.12	22.78	59.32	31.49
PV1_000011	12.15	42.98	14.53	20.67	6.29	26.96	32.12	45.56	16.95	10.50
PV1_000012	12.15	0.00	77.48	20.67	12.58	50.07	53.54	39.87	42.37	52.48
PV1_000013	12.15	0.00	14.53	20.67	12.58	3.85	21.42	0.00	8.47	31.49
PV1_000014	0.00	42.98	9.69	62.00	6.29	26.96	0.00	34.17	8.47	20.99
PV1_000015	400.99	279.35	154.96	289.35	257.98	161.76	182.04	336.01	228.80	283.39
PV1_000016	60.76	107.44	43.58	103.34	62.92	57.77	192.75	159.46	59.32	104.96
PV1_000017	109.36	107.44	121.07	165.34	169.89	92.44	149.91	130.99	101.69	152.19
PV1_000018	133.66	128.93	48.43	144.68	56.63	61.62	64.25	85.43	110.16	162.69
PV1_000019	48.60	64.47	38.74	0.00	25.17	15.41	10.71	39.87	76.27	26.24
PV1_000020	97.21	0.00	116.22	124.01	94.38	61.62	117.79	170.85	110.16	99.71
PV1_000021	0.00	42.98	9.69	0.00	12.58	23.11	21.42	11.39	33.90	0.00
PV1_000022	121.51	21.49	38.74	124.01	50.34	26.96	42.83	79.73	67.79	157.44
PV1_000023	194.42	193.40	111.38	268.68	119.55	103.99	203.45	216.41	169.48	94.46
PV1_000024	121.51	107.44	72.64	62.00	151.01	80.88	171.33	79.73	101.69	167.93
PV1_000025	243.02	214.89	116.22	289.35	182.47	96.29	42.83	199.33	364.38	393.59
PV1_000026	12.15	42.98	48.43	82.67	12.58	46.22	64.25	119.60	59.32	83.97
PV1_000027	170.12	85.95	72.64	41.34	94.38	73.18	139.21	125.29	194.90	136.45
PV1_000028	97.21	21.49	24.21	82.67	37.75	46.22	85.67	108.21	76.27	162.69
PV1_000029	85.06	193.40	43.58	144.68	132.14	107.84	64.25	130.99	50.84	73.47
PV1_000030	48.60	85.95	33.90	62.00	25.17	23.11	21.42	22.78	33.90	10.50
PV1_000031	36.45	64.47	29.06	20.67	18.88	23.11	0.00	39.87	42.37	68.22
PV1_000032	121.51	42.98	174.33	41.34	75.51	65.48	107.08	85.43	50.84	83.97
PV1_000033	60.76	21.49	38.74	20.67	62.92	34.66	21.42	17.09	50.84	47.23
PV1_000034	0.00	0.00	24.21	20.67	18.88	38.52	74.96	39.87	76.27	68.22
PV1_000035	36.45	0.00	48.43	41.34	37.75	15.41	32.12	56.95	42.37	31.49
PV1_000036	24.30	85.95	24.21	103.34	62.92	96.29	42.83	79.73	118.64	47.23
PV1_000037	0.00	0.00	174.33	20.67	31.46	53.92	117.79	28.48	42.37	36.74
PV1_000038	170.12	171.91	62.95	165.34	132.14	53.92	117.79	130.99	135.58	188.92
PV1_000039	24.30	150.42	179.18	248.02	113.26	138.66	214.16	113.90	110.16	120.70
PV1_000040	12.15	0.00	9.69	0.00	0.00	23.11	32.12	0.00	8.47	0.00
PV1_000041	24.30	21.49	62.95	0.00	88.09	100.14	32.12	96.82	59.32	10.50
PV1_000042	60.76	128.93	53.27	144.68	100.68	77.03	53.54	108.21	93.21	41.98
PV1_000043	498.20	322.33	145.28	268.68	245.40	146.36	567.53	313.23	338.96	346.36
PV1_000044	12.15	0.00	14.53	0.00	31.46	7.70	10.71	11.39	16.95	31.49
PV1_000045	0.00	0.00	33.90	103.34	12.58	19.26	0.00	0.00	8.47	0.00
PV1_000046	60.76	42.98	72.64	62.00	50.34	73.18	42.83	85.43	42.37	110.21
PV1_000047	145.81	21.49	111.38	82.67	81.80	103.99	74.96	91.12	135.58	89.21
PV1_000048	121.51	236.38	154.96	248.02	226.52	188.73	128.50	472.69	161.00	446.07
PV1_000049	36.45	0.00	53.27	0.00	18.88	61.62	85.67	11.39	25.42	0.00
PV1_000050	12.15	0.00	19.37	0.00	6.29	23.11	32.12	0.00	42.37	0.00
PV1_000051	24.30	0.00	261.50	0.00	50.34	127.10	192.75	5.70	33.90	0.00
PV1_000052	12.15	42.98	24.21	62.00	25.17	34.66	0.00	45.56	25.42	52.48
PV1_000053	279.48	214.89	179.18	248.02	251.69	165.62	278.41	261.97	84.74	309.63
PV1_000054	0.00	21.49	14.53	0.00	12.58	30.81	21.42	5.70	16.95	0.00
PV1_000055	170.12	85.95	62.95	144.68	119.55	92.44	117.79	125.29	42.37	157.44
PV1_000056	121.51	85.95	48.43	165.34	81.80	50.07	107.08	165.16	135.58	173.18
PV1_000057	48.60	0.00	38.74	62.00	37.75	46.22	0.00	51.26	16.95	47.23
PV1_000058	85.06	21.49	82.32	82.67	169.89	111.69	74.96	136.68	118.64	120.70
PV1_000059	36.45	0.00	82.32	41.34	18.88	46.22	53.54	0.00	67.79	15.74
PV1_000060	72.91	128.93	164.65	82.67	37.75	154.06	21.42	39.87	67.79	36.74
PV1_000061	12.15	0.00	19.37	0.00	18.88	34.66	21.42	28.48	42.37	20.99
PV1_000062	340.23	451.26	150.12	392.69	314.61	211.83	396.20	313.23	381.33	262.40
PV1_000063	0.00	85.95	62.95	20.67	37.75	65.48	42.83	68.34	59.32	26.24
PV1_000064	72.91	85.95	38.74	82.67	50.34	46.22	74.96	91.12	93.21	94.46
PV1_000065	170.12	85.95	232.45	144.68	163.60	107.84	96.37	159.46	84.74	209.92
PV1_000066	36.45	21.49	285.71	20.67	31.46	46.22	107.08	5.70	25.42	20.99
PV1_000067	12.15	0.00	19.37	20.67	6.29	30.81	21.42	11.39	0.00	20.99
PV1_000068	230.87	128.93	116.22	165.34	169.89	138.66	192.75	370.18	228.80	209.92
PV1_000069	85.06	171.91	33.90	248.02	176.18	57.77	10.71	210.72	135.58	157.44
PV1_000070	12.15	0.00	33.90	20.67	6.29	61.62	32.12	0.00	16.95	10.50
PV1_000071	109.36	85.95	58.11	82.67	113.26	173.32	96.37	68.34	42.37	41.98
PV1_000072	12.15	0.00	14.53	0.00	12.58	61.62	0.00	0.00	33.90	15.74
PV1_000073	36.45	0.00	24.21	62.00	50.34	30.81	21.42	28.48	42.37	47.23
PV1_000074	72.91	42.98	92.01	20.67	62.92	65.48	96.37	119.60	135.58	41.98
PV1_000075	60.76	42.98	24.21	103.34	18.88	23.11	85.67	74.04	50.84	131.20
PV1_000076	145.81	64.47	62.95	206.68	188.77	88.59	182.04	102.51	186.43	183.68
PV1_000077	230.87	85.95	67.80	62.00	81.80	53.92	267.70	148.07	203.37	110.21
PV1_000078	12.15	64.47	106.54	41.34	44.05	96.29	42.83	34.17	84.74	26.24
PV1_000079	85.06	171.91	38.74	289.35	132.14	115.55	96.37	91.12	135.58	115.45
PV1_000080	230.87	150.42	72.64	351.36	213.94	80.88	42.83	256.28	288.11	388.35
PV1_000081	12.15	21.49	9.69	0.00	18.88	42.37	32.12	0.00	8.47	5.25
PV1_000082	36.45	0.00	14.53	0.00	12.58	34.66	0.00	5.70	8.47	10.50
PV1_000083	36.45	42.98	19.37	20.67	18.88	26.96	32.12	74.04	16.95	31.49
PV1_000084	85.06	85.95	58.11	62.00	25.17	53.92	139.21	62.65	118.64	89.21
PV1_000085	0.00	0.00	24.21	0.00	12.58	50.07	10.71	5.70	8.47	0.00
PV1_000086	85.06	21.49	96.85	20.67	69.21	53.92	53.54	85.43	135.58	57.73
PV1_000087	72.91	42.98	33.90	20.67	69.21	50.07	21.42	85.43	59.32	110.21
PV1_000088	0.00	0.00	125.91	0.00	6.29	23.11	21.42	5.70	0.00	0.00
PV1_000089	24.30	0.00	19.37	20.67	88.09	103.99	32.12	17.09	42.37	5.25
PV1_000090	133.66	128.93	48.43	124.01	62.92	30.81	53.54	51.26	67.79	47.23
PV1_000091	109.36	85.95	53.27	103.34	94.38	103.99	117.79	148.07	110.16	62.97
PV1_000092	60.76	0.00	67.80	0.00	37.75	92.44	96.37	22.78	42.37	52.48
PV1_000093	97.21	85.95	19.37	124.01	138.43	46.22	21.42	96.82	194.90	68.22
PV1_000094	109.36	64.47	48.43	82.67	75.51	77.03	21.42	187.94	76.27	204.67
PV1_000095	24.30	107.44	29.06	41.34	18.88	46.22	10.71	5.70	25.42	0.00
PV1_000096	0.00	107.44	135.59	103.34	50.34	26.96	21.42	56.95	67.79	52.48
PV1_000097	218.72	85.95	121.07	20.67	62.92	123.25	224.87	85.43	59.32	26.24
PV1_000098	36.45	0.00	19.37	0.00	18.88	7.70	0.00	22.78	59.32	5.25
PV1_000099	291.63	236.38	164.65	392.69	440.46	196.43	192.75	216.41	364.38	288.64
PV1_000100	36.45	128.93	53.27	62.00	81.80	30.81	32.12	79.73	84.74	62.97
PV1_000101	12.15	0.00	19.37	0.00	12.58	23.11	0.00	34.17	8.47	26.24
PV1_000102	48.60	64.47	43.58	103.34	81.80	61.62	64.25	74.04	67.79	120.70
PV1_000103	133.66	0.00	314.77	0.00	81.80	123.25	171.33	68.34	118.64	41.98
PV1_000104	60.76	42.98	1651.33	0.00	31.46	100.14	599.66	28.48	16.95	20.99
PV1_000105	72.91	0.00	19.37	41.34	50.34	15.41	42.83	28.48	67.79	47.23
PV1_000106	24.30	64.47	38.74	0.00	50.34	34.66	10.71	17.09	42.37	31.49
PV1_000107	72.91	42.98	62.95	62.00	50.34	42.37	64.25	91.12	67.79	68.22
PV1_000108	12.15	0.00	4.84	0.00	12.58	38.52	42.83	0.00	8.47	0.00
PV1_000109	72.91	107.44	58.11	62.00	37.75	46.22	53.54	56.95	50.84	36.74
PV1_000110	12.15	0.00	9.69	20.67	0.00	26.96	0.00	5.70	50.84	0.00
PV1_000111	109.36	85.95	169.49	41.34	125.84	100.14	149.91	205.02	84.74	152.19
PV1_000112	109.36	128.93	116.22	124.01	132.14	119.40	74.96	153.77	135.58	104.96
PV1_000113	0.00	0.00	53.27	0.00	12.58	38.52	10.71	5.70	8.47	5.25
PV1_000114	24.30	42.98	29.06	82.67	18.88	30.81	32.12	62.65	25.42	62.97
PV1_000115	0.00	0.00	0.00	0.00	0.00	7.70	0.00	0.00	0.00	0.00
PV1_000116	0.00	0.00	48.43	62.00	0.00	19.26	21.42	5.70	25.42	0.00
PV1_000117	267.32	171.91	96.85	124.01	100.68	100.14	160.62	250.58	322.01	131.20
PV1_000118	340.23	107.44	164.65	186.01	182.47	119.40	139.21	284.75	254.22	246.65
PV1_000119	60.76	21.49	82.32	82.67	50.34	119.40	42.83	34.17	33.90	10.50
PV1_000120	0.00	0.00	4.84	0.00	18.88	15.41	0.00	0.00	8.47	10.50
PV1_000121	0.00	0.00	4.84	0.00	0.00	0.00	0.00	5.70	8.47	0.00
PV1_000122	109.36	107.44	14.53	82.67	119.55	61.62	32.12	153.77	76.27	131.20
PV1_000123	0.00	64.47	19.37	103.34	37.75	19.26	32.12	22.78	33.90	5.25
PV1_000124	85.06	128.93	19.37	0.00	12.58	23.11	0.00	51.26	16.95	0.00
PV1_000125	24.30	0.00	9.69	0.00	25.17	19.26	42.83	39.87	59.32	10.50
PV1_000126	85.06	64.47	154.96	62.00	81.80	73.18	107.08	74.04	59.32	99.71
PV1_000127	24.30	0.00	0.00	41.34	12.58	38.52	0.00	11.39	16.95	0.00
PV1_000128	36.45	64.47	9.69	0.00	18.88	23.11	53.54	34.17	50.84	26.24
PV1_000129	24.30	107.44	38.74	41.34	25.17	88.59	21.42	22.78	50.84	26.24
PV1_000130	36.45	128.93	77.48	62.00	50.34	57.77	74.96	56.95	42.37	78.72
PV1_000131	72.91	687.64	43.58	165.34	641.81	7.70	21.42	11.39	67.79	0.00
PV1_000132	60.76	21.49	14.53	0.00	18.88	11.55	21.42	34.17	25.42	52.48
PV1_000133	0.00	21.49	24.21	0.00	6.29	30.81	64.25	34.17	42.37	10.50
PV1_000134	12.15	0.00	0.00	82.67	0.00	11.55	10.71	17.09	25.42	20.99
PV1_000135	170.12	64.47	101.69	144.68	62.92	123.25	160.62	176.55	169.48	188.92
PV1_000136	0.00	0.00	4.84	41.34	31.46	19.26	21.42	11.39	8.47	0.00
PV1_000137	36.45	42.98	29.06	0.00	56.63	53.92	10.71	51.26	50.84	31.49
PV1_000138	72.91	107.44	48.43	41.34	69.21	57.77	74.96	62.65	110.16	94.46
PV1_000139	0.00	0.00	237.29	41.34	44.05	103.99	149.91	0.00	67.79	5.25
PV1_000140	24.30	21.49	43.58	62.00	37.75	38.52	32.12	62.65	76.27	68.22
PV1_000141	121.51	85.95	38.74	103.34	37.75	38.52	21.42	39.87	67.79	73.47
PV1_000142	24.30	85.95	96.85	20.67	6.29	23.11	74.96	34.17	67.79	20.99
PV1_000143	656.16	644.66	285.71	475.36	327.20	335.08	792.40	580.90	525.38	561.53
PV1_000144	36.45	0.00	19.37	41.34	18.88	38.52	21.42	22.78	16.95	36.74
PV1_000145	194.42	107.44	121.07	103.34	157.31	65.48	74.96	153.77	186.43	288.64
PV1_000146	12.15	0.00	58.11	82.67	50.34	111.69	85.67	17.09	33.90	0.00
PV1_000147	0.00	0.00	9.69	0.00	0.00	19.26	0.00	0.00	8.47	0.00
PV1_000148	0.00	0.00	9.69	0.00	31.46	15.41	0.00	0.00	0.00	0.00
PV1_000149	376.68	128.93	111.38	186.01	100.68	165.62	342.66	307.53	203.37	230.91
PV1_000150	36.45	21.49	33.90	82.67	37.75	211.83	64.25	51.26	33.90	26.24
PV1_000151	72.91	107.44	48.43	41.34	88.09	26.96	0.00	51.26	50.84	83.97
PV1_000152	133.66	42.98	62.95	0.00	113.26	65.48	85.67	68.34	25.42	78.72
PV1_000153	0.00	0.00	19.37	0.00	6.29	19.26	10.71	11.39	16.95	0.00
PV1_000154	36.45	0.00	19.37	41.34	18.88	23.11	10.71	34.17	8.47	15.74
PV1_000155	328.08	214.89	387.41	186.01	94.38	134.80	588.95	199.33	305.06	209.92
PV1_000156	24.30	0.00	4.84	0.00	18.88	11.55	21.42	5.70	33.90	0.00
PV1_000157	182.27	128.93	140.44	124.01	213.94	157.91	160.62	279.06	220.32	283.39
PV1_000158	36.45	171.91	1651.33	20.67	333.49	165.62	706.74	28.48	16.95	10.50
PV1_000159	133.66	171.91	77.48	206.68	138.43	69.33	85.67	148.07	118.64	204.67
PV1_000160	97.21	107.44	72.64	82.67	69.21	73.18	139.21	85.43	25.42	52.48
PV1_000161	36.45	0.00	19.37	186.01	18.88	38.52	32.12	0.00	84.74	0.00
PV1_000162	230.87	128.93	106.54	124.01	119.55	146.36	32.12	205.02	203.37	120.70
PV1_000163	97.21	150.42	184.02	62.00	44.05	130.95	310.54	85.43	177.95	57.73
PV1_000164	24.30	21.49	24.21	20.67	56.63	46.22	21.42	74.04	8.47	57.73
PV1_000165	85.06	64.47	24.21	20.67	50.34	19.26	42.83	28.48	8.47	41.98
PV1_000166	12.15	0.00	135.59	103.34	44.05	46.22	139.21	96.82	118.64	89.21
PV1_000167	0.00	0.00	9.69	0.00	6.29	11.55	0.00	0.00	0.00	0.00
PV1_000168	0.00	0.00	145.28	0.00	25.17	119.40	42.83	0.00	25.42	0.00
PV1_000169	24.30	21.49	38.74	0.00	0.00	7.70	10.71	0.00	16.95	15.74
PV1_000170	72.91	42.98	14.53	41.34	31.46	42.37	10.71	34.17	16.95	141.69
PV1_000171	36.45	21.49	9.69	20.67	6.29	42.37	21.42	11.39	16.95	47.23
PV1_000172	12.15	0.00	19.37	0.00	0.00	11.55	21.42	5.70	25.42	0.00
PV1_000173	24.30	21.49	38.74	0.00	12.58	30.81	42.83	85.43	25.42	20.99
PV1_000174	12.15	0.00	14.53	0.00	25.17	19.26	21.42	39.87	25.42	52.48
PV1_000175	12.15	64.47	14.53	41.34	50.34	38.52	42.83	28.48	33.90	41.98
PV1_000176	0.00	21.49	9.69	0.00	0.00	11.55	0.00	0.00	8.47	0.00
PV1_000177	97.21	21.49	19.37	0.00	44.05	46.22	21.42	45.56	16.95	0.00
PV1_000178	0.00	0.00	19.37	0.00	18.88	30.81	42.83	5.70	8.47	0.00
PV1_000179	72.91	21.49	29.06	41.34	18.88	57.77	53.54	11.39	76.27	57.73
PV1_000180	0.00	64.47	24.21	0.00	12.58	50.07	10.71	22.78	25.42	10.50
PV1_000181	0.00	21.49	145.28	0.00	25.17	30.81	85.67	22.78	0.00	5.25
PV1_000182	157.96	193.40	92.01	165.34	169.89	123.25	182.04	125.29	135.58	178.43
PV1_000183	170.12	128.93	198.55	82.67	132.14	204.13	321.24	227.80	127.11	183.68
PV1_000184	157.96	107.44	111.38	41.34	69.21	61.62	139.21	39.87	118.64	20.99
PV1_000185	0.00	0.00	62.95	0.00	6.29	26.96	64.25	0.00	8.47	20.99
PV1_000186	36.45	64.47	58.11	41.34	37.75	69.33	32.12	45.56	16.95	36.74
PV1_000187	206.57	214.89	92.01	124.01	207.64	77.03	182.04	239.19	194.90	204.67
PV1_000188	36.45	85.95	96.85	20.67	18.88	46.22	85.67	85.43	25.42	68.22
PV1_000189	12.15	128.93	53.27	41.34	88.09	50.07	32.12	159.46	59.32	73.47
PV1_000190	364.53	128.93	188.86	124.01	144.72	181.02	246.29	261.97	254.22	220.41
PV1_000191	72.91	21.49	24.21	103.34	31.46	38.52	117.79	22.78	135.58	68.22
PV1_000192	24.30	0.00	38.74	0.00	31.46	69.33	42.83	39.87	25.42	5.25
PV1_000193	121.51	64.47	87.17	82.67	125.84	92.44	139.21	170.85	67.79	125.95
PV1_000194	97.21	279.35	159.81	144.68	151.01	150.21	235.58	205.02	169.48	199.42
PV1_000195	0.00	0.00	72.64	0.00	25.17	88.59	10.71	0.00	33.90	0.00
PV1_000196	24.30	107.44	24.21	62.00	31.46	15.41	10.71	22.78	84.74	41.98
PV1_000197	0.00	0.00	53.27	0.00	0.00	34.66	0.00	0.00	25.42	0.00
PV1_000198	12.15	42.98	43.58	0.00	69.21	92.44	64.25	39.87	50.84	57.73
PV1_000199	72.91	0.00	29.06	20.67	0.00	19.26	0.00	39.87	16.95	20.99
PV1_000200	0.00	0.00	24.21	0.00	0.00	26.96	10.71	5.70	25.42	10.50
PV1_000201	24.30	0.00	24.21	0.00	6.29	15.41	0.00	11.39	8.47	10.50
PV1_000202	72.91	107.44	9.69	41.34	37.75	53.92	32.12	91.12	42.37	47.23
PV1_000203	230.87	64.47	77.48	103.34	69.21	26.96	96.37	68.34	93.21	26.24
PV1_000204	24.30	42.98	9.69	20.67	44.05	23.11	21.42	45.56	8.47	57.73
PV1_000205	12.15	21.49	222.76	62.00	81.80	77.03	149.91	102.51	50.84	26.24
PV1_000206	157.96	150.42	77.48	248.02	201.35	53.92	117.79	96.82	152.53	120.70
PV1_000207	36.45	21.49	72.64	0.00	18.88	46.22	32.12	22.78	16.95	0.00
PV1_000208	911.33	150.42	116.22	2025.46	289.44	2923.31	64.25	28.48	1067.72	20.99
PV1_000209	24.30	0.00	48.43	0.00	31.46	42.37	53.54	74.04	59.32	57.73
PV1_000210	60.76	42.98	38.74	41.34	69.21	57.77	10.71	79.73	76.27	78.72
PV1_000211	48.60	42.98	38.74	0.00	6.29	23.11	32.12	5.70	8.47	5.25
PV1_000212	36.45	64.47	58.11	41.34	88.09	123.25	64.25	28.48	42.37	0.00
PV1_000213	0.00	0.00	19.37	0.00	0.00	11.55	0.00	0.00	0.00	0.00
PV1_000214	48.60	0.00	43.58	62.00	37.75	53.92	74.96	34.17	25.42	52.48
PV1_000215	72.91	21.49	145.28	20.67	25.17	80.88	42.83	28.48	76.27	20.99
PV1_000216	72.91	42.98	53.27	0.00	18.88	50.07	139.21	17.09	42.37	0.00
PV1_000217	109.36	236.38	43.58	186.01	69.21	107.84	85.67	148.07	67.79	194.17
PV1_000218	121.51	42.98	67.80	144.68	69.21	77.03	160.62	119.60	84.74	94.46
PV1_000219	60.76	0.00	43.58	41.34	75.51	46.22	10.71	39.87	42.37	94.46
PV1_000220	0.00	0.00	9.69	0.00	25.17	23.11	21.42	0.00	0.00	5.25
PV1_000221	24.30	21.49	237.29	124.01	44.05	65.48	139.21	39.87	50.84	26.24
PV1_000222	0.00	193.40	48.43	0.00	276.86	19.26	21.42	17.09	0.00	0.00
PV1_000223	12.15	107.44	53.27	20.67	18.88	57.77	32.12	11.39	76.27	31.49
PV1_000224	48.60	85.95	14.53	103.34	31.46	11.55	32.12	45.56	59.32	110.21
PV1_000225	230.87	85.95	92.01	227.35	157.31	69.33	149.91	159.46	169.48	152.19
PV1_000226	12.15	0.00	38.74	20.67	6.29	42.37	21.42	0.00	25.42	0.00
PV1_000227	121.51	107.44	164.65	289.35	157.31	157.91	224.87	182.24	194.90	146.94
PV1_000228	24.30	0.00	29.06	0.00	0.00	7.70	10.71	22.78	25.42	26.24
PV1_000229	12.15	0.00	116.22	20.67	62.92	88.59	64.25	56.95	59.32	47.23
PV1_000230	0.00	0.00	29.06	0.00	31.46	23.11	0.00	0.00	0.00	26.24
PV1_000231	12.15	0.00	38.74	0.00	6.29	57.77	21.42	11.39	25.42	0.00
PV1_000232	182.27	150.42	266.34	82.67	188.77	331.23	203.45	62.65	161.00	120.70
PV1_000233	24.30	64.47	4.84	62.00	31.46	15.41	32.12	34.17	25.42	0.00
PV1_000234	24.30	85.95	14.53	0.00	0.00	57.77	53.54	17.09	42.37	0.00
PV1_000235	230.87	21.49	24.21	62.00	75.51	57.77	160.62	136.68	76.27	199.42
PV1_000236	364.53	451.26	208.23	516.70	283.15	254.20	278.41	341.70	288.11	325.37
PV1_000237	12.15	0.00	9.69	0.00	6.29	19.26	0.00	5.70	33.90	15.74
PV1_000238	109.36	21.49	29.06	103.34	81.80	50.07	32.12	176.55	84.74	115.45
PV1_000239	48.60	107.44	130.75	103.34	125.84	107.84	96.37	148.07	50.84	178.43
PV1_000240	0.00	0.00	62.95	0.00	25.17	23.11	74.96	5.70	33.90	0.00
PV1_000241	48.60	0.00	0.00	20.67	12.58	11.55	21.42	17.09	42.37	0.00
PV1_000242	328.08	214.89	159.81	206.68	163.60	134.80	310.54	182.24	169.48	115.45
PV1_000243	0.00	0.00	9.69	20.67	0.00	23.11	10.71	0.00	16.95	0.00
PV1_000244	0.00	0.00	14.53	0.00	18.88	34.66	10.71	11.39	0.00	5.25
PV1_000245	145.81	64.47	125.91	82.67	75.51	92.44	171.33	51.26	42.37	36.74
PV1_000246	194.42	107.44	121.07	124.01	125.84	138.66	85.67	119.60	135.58	104.96
PV1_000247	24.30	21.49	29.06	0.00	12.58	46.22	10.71	34.17	59.32	0.00
PV1_000248	109.36	107.44	87.17	103.34	169.89	92.44	160.62	165.16	194.90	267.64
PV1_000249	0.00	42.98	9.69	434.03	12.58	7.70	21.42	0.00	194.90	0.00
PV1_000250	12.15	0.00	24.21	41.34	25.17	26.96	0.00	11.39	42.37	15.74
PV1_000251	12.15	21.49	53.27	0.00	25.17	26.96	10.71	22.78	0.00	31.49
PV1_000252	24.30	0.00	14.53	0.00	12.58	15.41	0.00	51.26	84.74	20.99
PV1_000253	12.15	0.00	48.43	20.67	50.34	77.03	32.12	108.21	8.47	125.95
PV1_000254	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PV1_000255	0.00	0.00	29.06	0.00	0.00	38.52	0.00	11.39	16.95	10.50
PV1_000256	48.60	0.00	58.11	41.34	37.75	92.44	74.96	68.34	67.79	36.74
PV1_000257	0.00	0.00	4.84	0.00	0.00	7.70	0.00	11.39	0.00	0.00
PV1_000258	24.30	21.49	101.69	82.67	100.68	53.92	74.96	34.17	42.37	131.20
PV1_000259	72.91	0.00	82.32	41.34	88.09	119.40	74.96	39.87	93.21	52.48
PV1_000260	24.30	21.49	87.17	124.01	18.88	53.92	96.37	11.39	42.37	41.98
PV1_000261	24.30	85.95	77.48	227.35	144.72	69.33	64.25	136.68	152.53	152.19
PV1_000262	0.00	0.00	14.53	0.00	0.00	7.70	10.71	0.00	16.95	0.00
PV1_000263	48.60	64.47	24.21	0.00	44.05	30.81	64.25	85.43	67.79	83.97
PV1_000264	0.00	21.49	0.00	0.00	18.88	7.70	0.00	0.00	0.00	0.00
PV1_000265	24.30	21.49	19.37	0.00	0.00	19.26	32.12	28.48	33.90	47.23
PV1_000266	0.00	0.00	19.37	0.00	50.34	61.62	10.71	5.70	8.47	15.74
PV1_000267	24.30	42.98	14.53	20.67	6.29	19.26	21.42	39.87	16.95	0.00
PV1_000268	48.60	21.49	29.06	144.68	31.46	26.96	0.00	62.65	93.21	52.48
PV1_000269	24.30	0.00	48.43	20.67	18.88	50.07	32.12	0.00	0.00	31.49
PV1_000270	24.30	21.49	19.37	20.67	0.00	19.26	21.42	11.39	50.84	31.49
PV1_000271	24.30	21.49	24.21	41.34	56.63	42.37	0.00	45.56	33.90	68.22
PV1_000272	0.00	0.00	4.84	0.00	6.29	3.85	0.00	5.70	0.00	0.00
PV1_000273	0.00	0.00	0.00	0.00	18.88	3.85	0.00	11.39	0.00	0.00
PV1_000274	24.30	42.98	48.43	41.34	12.58	30.81	64.25	17.09	42.37	31.49
PV1_000275	36.45	42.98	125.91	103.34	81.80	77.03	42.83	125.29	59.32	183.68
PV1_000276	0.00	21.49	0.00	41.34	12.58	11.55	10.71	17.09	8.47	0.00
PV1_000277	36.45	42.98	48.43	0.00	62.92	38.52	42.83	91.12	50.84	57.73
PV1_000278	48.60	21.49	48.43	41.34	6.29	38.52	32.12	34.17	42.37	10.50
PV1_000279	364.53	64.47	256.66	351.36	88.09	207.98	321.24	210.72	245.74	157.44
PV1_000280	85.06	0.00	150.12	82.67	75.51	61.62	139.21	233.50	177.95	167.93
PV1_000281	85.06	150.42	164.65	165.34	113.26	84.73	64.25	102.51	101.69	125.95
PV1_000282	12.15	21.49	19.37	82.67	31.46	38.52	32.12	22.78	16.95	57.73
PV1_000283	97.21	21.49	58.11	0.00	18.88	23.11	32.12	51.26	16.95	83.97
PV1_000284	48.60	21.49	9.69	62.00	12.58	65.48	21.42	51.26	8.47	26.24
PV1_000285	0.00	0.00	43.58	0.00	0.00	7.70	10.71	5.70	8.47	0.00
PV1_000286	157.96	64.47	121.07	289.35	188.77	61.62	107.08	102.51	186.43	178.43
PV1_000287	24.30	42.98	4.84	41.34	56.63	42.37	0.00	34.17	8.47	20.99
PV1_000288	0.00	0.00	38.74	0.00	31.46	42.37	21.42	28.48	33.90	47.23
PV1_000289	0.00	21.49	14.53	0.00	0.00	34.66	10.71	17.09	8.47	0.00
PV1_000290	0.00	0.00	38.74	20.67	25.17	34.66	21.42	39.87	33.90	31.49
PV1_000291	12.15	0.00	14.53	0.00	25.17	11.55	32.12	0.00	16.95	0.00
PV1_000292	48.60	85.95	53.27	165.34	69.21	46.22	42.83	102.51	59.32	68.22
PV1_000293	170.12	128.93	101.69	144.68	69.21	123.25	182.04	153.77	144.06	125.95
